#NAME?,পর
#NAME?,পর
#NAME?,পর
a,একটি
a bad egg,ফালতু লোক
a bed of roses,পুষ্প শয্যা
a bed of thorns,কণ্টক শয্যা
a bee in one’s bonnet,পাগলাটে ভাব
a bird of passage,ভ্রাম্যমান ব্যক্তি
a bit,কিছু
a black look,রক্ত চক্ষু
a black sheep,কুলাঙ্গার
a bon marche,সস্তায়
a close fisted man,কৃপণ
a far cry,অনেক ব্যবধান
a few,থোড়া
a fish out of water,অস্বস্তিকর অবস্থা
a fool's paradise,মূর্খের স্বর্গ
a foregone conclusion,পূর্বেই অনুমিত ফলাফল
a gala day,আনন্দের দিন
a going concern,লাভজনক প্রতিষ্ঠান বা ব্যবসা
a hard nut to crack,কঠিন সমস্যা
a heart of stone,পাষাণহৃদয়
a household word,অতি পরিচিত
a jail bird,জেল ঘুঘু
a jaundiced eye,বিদ্বেষ ভরা চোখ বা মন
a kind of penance,এক প্রকার প্রায়শ্চিত্ত
a laughing stock,হাস্যকর ব্যাপার বা ব্যক্তি
a letter of acceptance,স্বীকৃতিপত্র
a lift in the lute,মতবিরোধ
a limb of law,আইনজীবী
a little boy,পোঁটা
a lot,প্রচুর পরিমানে
a man in the street,সাধারণ ব্যক্তি
a man of letters,পন্ডিত ব্যক্তি
a man of parts,গুণান্বিত ব্যক্তি
a man of word,এক কথার মানুষ
a means of,মাধ্যম
a measure of time,অনুপল
a meat tea,সান্ধ্যভোজ
a name of shiva,কেদার
a narrow escape,অল্পের জন্য বেঁচে যাওয়া
a piece of cake,সহজলভ্য
a posteriori,আরোহী
a priori,অবরোহী
a propos,প্রাসঙ্গিক
a rainy day,দুর্দিন
a riot of,প্রাচুর্য
a running blow,অবিশ্রান্ত
a sharp look out,সতর্ক নজর
a single combat,মল্লযুদ্ধ
a sleeping partner,অর্থ প্রদানকারী নিষ্ক্রিয় ব্যক্তি
a slow coach,অলস ব্যক্তি
a square meal,ভরপেট আহার
a stone's throw,সন্নিকটে
a whale of a,অঢেল
a white elephant,গরীবের হাতি পোষার মত ব্যয় সাধ্য
a white lie,ডাহা মিথ্যা
a young girl,তরুণী
a-,অপ-
a-bomb,পারমানবিক বোমা
a-going,চালু
aal,তার
aardvark,একটি নলাকার ধরণ মুখের এবং একটি দীর্ঘ জিহ্বা দিয়ে স্তন্যপায়ী
ab,এবি
ab invito,অনিচ্ছুকভাবে
ab-,অব-
aba,আরবদের ব্যবহার্য হাতাবিহীন পোশাক বিশেষ
abacas,গণনা যন্ত্রবিশেষ
abaci,গণনা-যন্ত্রবিশেষ
aback,পিছনে
abacterial,অজীবাণুজনিত
abactor,গোরু - চোর
abactors,গোরু-চোর
abacus,স্তম্ভশীর্ষফলক
abacuses,গণনা-যন্ত্রবিশেষ
abaddon,শয়তান
abaft,পিছন দিক থেকে
abalone,ঝিনুক
abalones,ঝিনুক
aband,তার নিজের প্রদেশ কোনটি
abandon,পরিত্যাগ করা
abandoned,পরিত্যক্ত
abandonee,যে বিমাপ্রতিষ্ঠান ধ্বংসপ্রাপ্ত জাহাজাদি উক্ষারের ভার গ্রহণ করে
abandonees,যে বিমাপ্রতিষ্ঠান ধ্বংসপ্রাপ্ত জাহাজাদি উক্ষারের ভার গ্রহণ করে
abandoning,ত্যাগ
abandonment,বিসর্জন
abandonments,বিসর্জন
abandons,বর্জ
abase,হীন করা
abase oneself,নিজেকে হীন করা
abased,নিচের দিকে - নামানো
abasement,অপমান
abasements,হীনতা
abaser,সর্বাধিক সম্ভ্রান্ত যে সর্বাধিক
abases,হীন করা
abash,কুণ্ঠিত করা
abashed,লজ্জিত
abashes,অপ্রতিভ করা
abashing,অপ্রতিভ করা
abashment,বিভ্রান্তি
abashments,বিভ্রান্তি
abasing,হীন করা
abat-vent,জানালার খড়খড়িবিশেষ
abate,ক্ষীণ করা
abated,কমান
abatement,উপশম
abatements,উপশম
abates,কমান
abating,কমান
abatis,কর্তিত বৃদ্ধনির্মিত প্রতিরোধ - বূ্যহ
abatises,কর্তিত বৃদ্ধনির্মিত প্রতিরোধ-বূ্যহ
abattoir,কসাইখানা
abattoirs,কসাইখানা
abb,পড়েন
abba,পরম পিতা
abbacies,মঠাধ্যক্ষের পদ
abbacy,মঠাধ্যক্ষের এলাকা
abbas,আব্বাস
abbass,এর উপযুক্ত
abbatial,মঠসংক্রান্ত
abbe,ফরাসী ধর্মযাজক বিশেষ
abbess,মঠাধ্যক্ষ
abbesses,মঠাধ্যক্ষ
abbey,মঠ
abbeys,মঠ
abbot,মঠাধ্যক্ষ
abbots,মঠাধ্যক্ষ
abbotship,মঠাধ্যক্ষ
abbreviate,সংক্ষিপ্ত করা
abbreviated,সংক্ষিপ্ত
abbreviates,ছোট করা
abbreviating,কাটছাঁট
abbreviation,সংক্ষেপ
abbreviations,বর্ণমালা
abbs,পড়েন
abc,বর্ণমালা
abdicate,অস্বীকার করা
abdicated,ত্যাগ করা
abdicates,ত্যাগ করা
abdicating,ত্যাগ করা
abdication,পদত্যাগ
abdications,পরিত্যাগ
abdomen,পেট
abdomens,উদর
abdomina,উদর
abdominal,পেটের
abdominous,নাদাপেটা
abducent,সঙ্কোচনশীল
abduct,অপহরণ করা
abducted,অপহরণ
abductee,এরকম
abducting,অপহারক
abduction,অপহরণ
abductions,অপহরণ
abductor,তস্কর
abductores,চোর
abductors,অপহরণকারীরা
abducts,অপহরণ
abdullah,আল্লাহ্র বান্দা
abeam,জাহাজের দৈর্ঘ্যের সমকোণে
abecedarian,প্রাথমিক
abecedarians,প্রাথমিক শিক্ষার্থী
abed,শয্যায়
aberrance,বিচ্যুতির ঘটনা
aberrancy,বিচ্যুতির অবস্থা
aberrant,বিপথগামী
aberrantly,হাস্যকর রকমের ব্যাখ্যাটি
aberrate,বিপথগামী হত্তয়া
aberrated,বিপথগামী হত্তয়া
aberrates,বিপথগামী হত্তয়া
aberrating,বিপথগামী হত্তয়া
aberration,স্খলন
aberrational,কাসাস:
aberrations,স্খলন
abet,ঢাকা দেত্তয়া
abetment,আনুকূল্য
abetments,বিবাদসৃষ্টির স্বভাব
abets,সহায়তা করিলে
abetted,সাহায্য করা
abetter,কুকর্মে সাহায্যকারী
abetters,মানববন্ধনে বাধা দিলে পরিণতি
abetting,পোষক
abettor,পোষক
abettors,মৌল
abeyance,স্থগিতাবস্থা
abeyances,স্থগিতাবস্থা
abhor,ঘৃণাসহকারে পরিহার
abhorred,ঘৃণাসহকারে পরিহার করা
abhorrence,ন্যক্কার
abhorrences,ঘৃণাসহকারে পরিহার
abhorrent,জঘন্য
abhorring,ঘৃণাসহকারে পরিহার করা
abhors,চরমভাবে ঘৃণা
abid,প্রতীক্ষা করা
abidance,পালন
abidances,পালন
abide,বরদাস্ত করা
abide by,মানিয়া চলা
abided,আনুষ্ঠানিক কোনো সভা
abides,মানছে
abiding,মান্যকারী
abidingly,স্থায়িভাবে
abidjan,আবিদজান
abigail,সম্ভ্রান্ত মহিলার পরিচারিকা
abilities,ক্ষমতা
ability,ক্ষমতা
ability to work,কর্মক্ষমতা
abiogeneses,অজীবজনি
abiogenesis,অজীবজনি
abiotic,জীবক্রিয়া
abject,শোচনীয়
abjected,নীচ
abjecting,নীচ
abjection,অপমান
abjections,হীনতা
abjectly,শোচনীয়ভাবে
abjectness,দুর্দশাকে
abjects,নীচ
abjuration,শপথপূর্বক পরিত্যাগ
abjure,শপথপূর্বক পরিত্যাগ করা
abjured,ত্যাগ
abjures,শপথপূর্বক পরিত্যাগ করা
abjuring,শপথপূর্বক পরিত্যাগ করা
abkhazia,আবখাজিয়া
ablate,কেড়ে নেত্তয়া
ablated,কেড়ে নেত্তয়া
ablates,কেড়ে নেত্তয়া
ablating,কেড়ে নেত্তয়া
ablation,অপসারণ
ablations,অপসারণ
ablative,অপাদান
ablatives,পঁচমী বিভক্তি
ablaut,অপশ্রুতি
ablauts,অপশ্রুতি
ablaze,বহ্নিমান
able,সক্ষম
able of making evil,বিকৃত করিতে সক্ষম
able to work,কর্মী
able-bodied,সুস্থ
abled,সক্ষম
abler,সক্ষম
ables,সক্ষম
ablest,মনোযোগের মাত্রা তীব্রতর
abling,সক্ষম
abloom,প্রস্ফুটিত
ablush,সলজ্জ
ablution,ডুব
ablutions,ডুব
ably,দক্ষতার সহিত
abnegate,পরিত্যাগ করা
abnegated,বঁচিত করা
abnegates,বঁচিত করা
abnegating,বঁচিত করা
abnegation,অস্বীকার
abnegations,অস্বীকার
abnormal,অস্বাভাবিক
abnormal creature,বিকটাকার প্রাণী
abnormalcy,অস্বাভাবিকতা
abnormalities,অস্বাভাবিকতা
abnormality,অস্বাভাবিকতা
abnormally,অস্বাভাবিক
abnormals,অস্বাভাবিক
abnormities,অস্বাভাবিকতা
abnormity,অস্বাভাবিকতা
aboard,জাহাজের উপরে
abode,আবাস
abode of gods,অমরধাম
abodes,ঘর
aboil,উত্তাপাদিতে ফুটন্ত অবস্থায়
abolionist,বাতিল করা
abolish,বাতিল করা
abolished,রহিত
abolisher,বাতিল
abolishes,রহিত করা
abolishing,বদলের
abolishment,রদ
abolishments,রদ
abolition,রদ
abolitionist,মৃত্যুদণ্ডবিলোপপন্থী
abolitions,রদ
abominable,জঘন্য
abominable habit,কদাচার
abominable practice,কদাচার
abominate,ঘৃণায় পরিহার করা
abominated,ঘৃণায় পরিহার করা
abominates,ঘৃণায় পরিহার করা
abominating,ঘৃণায় পরিহার করা
abomination,কদর্যতা
abominations,কদর্যতা
aboral,পরাঙ্মুখ
abord,নৌরুটে
aborigen,আদিবাসী
aboriginal,আদিবাসী
aboriginally,দুইজন করে প্রতিনিধি সংলাপে
aboriginals,প্রাসঙ্গিক
aborigine,আদিম অধিবাসী
aborigines,আদিবাসী
aborignal,দেশীয়
abort,গর্ভপাত করান
aborted,বন্ধ্যা - করা
aborted fetus,গর্ভপাত
aborted foetus,গর্ভপাত
aborter,বাতিল
aborting,গর্ভপাত
abortion,গর্ভপাত
abortionist,যে ব্যক্তি গর্ভপাত ঘটায়
abortionists,ফের মুখোশধারীদের বোমা
abortions,গর্ভপাত
abortive,ব্যর্থ
abortively,বৃথা
aborts,গর্ভপাত হত্তয়া
abound,উড়া
abounded,প্রচুর বাস্কেটবল
abounding,উচ্ছ্বাসিত
abounds,উড়া
about,সম্পর্কে
about to,উদ্যত
about to die out,নিবন্ত
about to go out,নিবন্ত
about to weep,কান্দ-কান্দ
about-face,মোড়
about-turn,মোড়
above,উপরে
above all,প্রধানত
above board,ভদ্র
above criticism,সমালোচনার উর্ধ্বে
above ground,জীবন্ত
above one's means,আয়ের অধিক ব্যয়
above one's station,যোগ্যতার উর্ধ্বে
above-mentioned,পূর্বোল্লিখিত
above-named,পূর্বকথিত
aboveboard,অকপট
aboves,উপরে
abp,পর্যায়ক্রমে কিছুক্ষণের জন্য বাঁধা
abracadabra,অবোধ্য বুলি
abrade,ঘষা
abraded,ঘর্ষিত
abrades,ঘষা
abrading,ঘষা
abrasion,ঘর্ষণ
abrasion coin,মুদ্রাধাতুক্ষয়
abrasions,মুদ্রাধাতুক্ষয়
abrasive,ঘষিয়া তুলিয়া ফেলিতে সক্ষম
abrasives,পালিশ
abreaction,অভিস্ফোট
abreast,পাশাপাশি
abridge,সংক্ষেপ করা
abridged,সংক্ষেপিত
abridgement,সীমাবদ্ধতা
abridgements,হ্রাস
abridges,সংক্ষেপ করা
abridging,সংক্ষেপ করা
abridgment,সীমাবদ্ধতা
abridgments,হ্রাস
abrim,কানাই-কানাই ভরতি এমন
abroach,মদ্যাদি বের করার জন্য ছিদ্র করা হয়েছে এমন
abroad,বিদেশে
abroads,বিদেশ
abrogate,রদ করা
abrogated,রহিত
abrogates,পরাভূত মনে
abrogating,ব্র্যাকের
abrogation,রদ
abrogations,বাতিল
abrupt,আকস্মিক
abruption,ছিন্নকরণ
abruptions,ছিন্নকরণ
abruptly,হঠাৎ
abruptness,আকস্মিকতা
abruptnesses,আকস্মিকতা
abscess,ফোড়া
abscessed,পানি খেয়ে
abscesses,ফোড়া
absciss,মোচন
abscissa,ভুজ
abscissae,ভুজ
abscissas,ভুজ
abscission,কর্তন
abscissions,কর্তন
abscond,পলান
absconded,আসামি পলাতক থাকার
absconder,আত্মগোপনকারী
absconders,গতকাল
absconding,পলান
absconds,এই অভিমতের সাথে
absence,অনুপস্থিতি
absence of attachment,অনাসক্ত
absence of delay,অবিলম্ব
absence of desire,অনাকাঙ্ক্ষা
absence of devotion,অভক্তি
absence of interest,অনাসক্তি
absence of light,অন্ধকার
absence of longing,অনাকাঙ্ক্ষা
absence of mind,অমনোযোগিতা
absence of possession,ভক্তিহীনতা
absences,অনুপস্থিতিতে
absent,অনুপস্থিত
absent-minded,অন্যমনস্ক
absent-mindedness,অমনোযোগিতা
absented,শোকর
absentee,অনুপস্থিত ব্যক্তি
absenteeism,অযথা কামাই করার অভ্যাস
absenteeisms,কর্মক্ষেত্রাদিতে অনুপসি্থত থাকার অভ্যাস
absentees,অনুপস্থিত ব্যক্তি
absenter,অনুপস্থিত
absenting,জাদু
absently,অন্যমনস্কভাবে
absents,বারবার ডায়েরি
absinth,বৃক্ষবিশেষ
absinthe,সোমরস
absinthes,বৃক্ষবিশেষ
absinths,বৃক্ষবিশেষ
absit,এখানে
absolute,পরম
absolute being,গুণাতীত
absolutely,একেবারে
absolutely necessary,অত্যাবশ্যক
absoluteness,নিরঙ্কুশ্তা
absolutenesses,নিরঙ্কুশ্তা
absoluter,চরম
absolutes,চরম
absolutest,চরম
absolution,আত্মসমর্থন
absolutions,হেতুপ্রদর্শন
absolutism,স্বৈরতন্ত্র
absolutisms,স্বৈরতন্ত্র
absolutist,স্বৈরতন্ত্রের প্রবক্তা
absolutists,শাহজালাল
absolutizes,লাহিড়ী
absolve,মুক্তিদান করা
absolved,মুক্তিদান করা
absolvent,ক্ষমাপরায়ণ
absolver,ক্ষমাশীল
absolves,মুক্তিদান করা
absolving,না জানলে বুঝবেন
absorb,শুষে নেওয়া
absorbability,শোষণপ্রবণতা
absorbable,শোষণযোগ্য
absorbed,শোষিত
absorbedly,অভিনিবেশসহকারে
absorbencies,নিবিষ্টতা
absorbency,নিবিষ্টতা
absorbent,বিশোষক
absorber,শোষক
absorbers,বিশোষক পদার্থ
absorbing,শোষক
absorbs,শোষণ
absorption,বিশোষণ
absorptions,মাতন
absorptive,বিশোষক
abstain,বিরত থাকা
abstained,শাহেদ
abstainer,মাদকবর্জনকারী
abstaining,বিরত
abstains,গাফেল
abstemious,মিতাচারী
abstemiousness,নিয়তাহর
abstention,নিবৃত্তি
abstentions,নিবৃত্তি
abstergent,পরিষ্কারক পদার্থ
abstergents,পরিষ্কারক পদার্থ
abstersion,পরিষ্করণ
abstersions,পরিষ্করণ
abstient,সংযমী
abstinence,পরিহার
abstinent,পরিহারক
abstract,বিমূর্ত
abstracted,আনমনা
abstractedly,অন্যমনস্কভাবে
abstractedness,বিমূর্তন
abstracter,বিমূর্ত
abstractest,বিমূর্ত
abstracting,নিষ্কাশিত করা
abstraction,বিমূর্তন
abstractions,বিমূর্তন
abstractive,বিমূর্ত হত্তয়া
abstractiveness,বিমূর্তন
abstracts,বিমূর্ত
abstruct,বিমূর্ত
abstruse,দুর্বোধ্য
abstruseness,নিগূঢ়তা
abstruser,দুর্বোধ্য
abstrusest,দুর্বোধ্য
absurd,অযৌক্তিক
absurder,কিম্ভুতকিমাকার
absurdest,কিম্ভুতকিমাকার
absurdities,অর্থহীনতা
absurdity,অর্থহীনতা
absurdly,হাস্যকর
abundance,প্রাচুর্য
abundances,প্রাচুর্য
abundant,প্রচুর
abundantly,প্রচুর পরিমাণে
abune,আর অন্তুর
abuse,অপব্যবহার
abused,কুট্টিত
abuser,গালাগাল
abuses,লংঘনের
abusing,অপব্যবহারের
abusive,অবমাননাকর
abusive words,কুকথা
abusively,কটূক্তিপূর্ণ
abusiveness,ছাত্রীরাও তাদের বক্তব্য দিতো
abut,ঘেঁষা
abutment,মোড়
abutments,কোণার মোড়
abuts,abuts আনয়ন
abutted,সমসীমাযুক্ত হত্তয়া
abutter,সংলগ্ন সম্পত্তির মালিক
abutting,সমসীমাযুক্ত হত্তয়া
abuzz,সক্রিয়
abysm,অতল গহ্বর
abysmal,অতল
abysmally,অসম্ভব
abysms,অতলতা
abyss,নরক
abyssal,গহন
abysses,নরক
abyssinnian,আবিসিনিয়া দেশের লোক
acacia,বাবলা
acacias,বাবলা
academe,কথাবার্তা
academia,একাডেমিয়া
academias,Académias
academic,একাডেমিক
academical,কেতাবি
academicals,বিশ্ববিদ্যালয়ের সভ্য শিক্ষকদের জন্য নির্দিষ্ট পোশাক
academician,বিশ্ববিদ্যালয়ের সভ্য
academicians,শিক্ষাবিদ
academics,শিক্ষাবিদ
academies,পরিষদ
academy,শিক্ষায়তন
academy figure,দলিল
acanthi,বাসকগোত্রীয় বৃক্ষ
acanthus,বাসকগোত্রীয় বৃক্ষ
acanthuses,বাসকগোত্রীয় বৃক্ষ
acarpous,ফল ধরে না এমন
acaulescent,নিষ্কাণ্ড
acca,আমিরিকান চার্টার্ড সারটিফাইড অ্যাকাউনট্যানট্স
accede,রাজী হত্তয়া
acceded,গদিলাভ করা
accedent,অভিগমন
accedes,গদিলাভ করা
acceding,যোগদানকারী
accelerando,রাজিব
accelerate,দ্রুততর করা
accelerated,ত্বরিত
accelerates,খানি
accelerating,ত্বরক
acceleration,ত্বরণ
accelerations,ত্বরণ
accelerator,ত্বরক
accelerators,বেগবর্ধক ব্যক্তি
acceleratory,প্রশাসক ফরিদ
accelerometer,অ্যাকসিলরোমিটারটির
accent,স্বরাঘাত
accented,প্রস্বরিত
accenting,স্বরসঙ্ঘাতসহ উচ্চারণ করা
accents,কথা
accentual,স্বসঙ্ঘাতানুযায়ী
accentuate,উচ্চারণ করা
accentuated,স্বরসঙ্ঘাতসহ উচ্চারণ করা
accentuates,স্বরসঙ্ঘাতসহ উচ্চারণ করা
accentuating,স্বরসঙ্ঘাতসহ উচ্চারণ করা
accentuation,উচ্চারণ
accentuations,উচ্চারণ
accept,গ্রহণ করা
acceptability,গ্রহণযোগ্যতা
acceptabillity,গ্রহণ মূল্য
acceptable,গ্রহণযোগ্য
acceptance,স্বীকৃতি
acceptances,স্বীকৃতি
acceptant,প্রয়োজনীয় গ্রহণযোগ্য
acceptation,গ্রহণ
accepte,গ্রহণ করা
accepted,গৃহীত
accepting,আদান
acceptor,গ্রহণকর্তা
acceptors,স্বীকারকর্তা
accepts,গ্রহণ
access,প্রবেশ
accessable,উপলভ্য
accessaries,অতিরিক্ত বস্তু
accessary,আনুষঙ্গিক
accessed,প্রবেশ
accesses,ব্যবহারের
accessibility,অভিগম্যতা
accessible,সুগম
accessing,অ্যাক্সেস
accession,সংযোজন
accessions,সমীপে গমন
accessorial,অতিরিক্ত
accessories,জিনিসপত্র
accessorizing,অ্যাক্সেসরাইজিং
accessory,আনুষঙ্গিক
accidence,শব্দরুপ
accidences,শব্দরুপ
accident,দুর্ঘটনা
accidental,আপতিক
accidentally,ঘটনাক্রমে
accidentals,দুর্ঘটনাবশত
accidented,দূর্ঘটনা
accidents,দুর্ঘটনা
acclaim,জয়ধ্বনি
acclaimed,প্রশংসিত
acclaimer,প্রশংসা
acclaiming,মডেল দ্বারা নির্দেশিত
acclaims,উচ্চরবে প্রশংসা করা
acclamation,প্রশংসা
acclamations,প্রশংসা
acclimate,নূতন জলবায়ু সহ্য করিতে অভ্যস্ত করান
acclimated,নূতন জলবায়ু সহ্য করিতে অভ্যস্ত করান
acclimates,নূতন জলবায়ু সহ্য করিতে অভ্যস্ত করান
acclimating,নূতন জলবায়ু সহ্য করিতে অভ্যস্ত করান
acclimation,আবহাত্তয়ায় অভ্যস্তকরণ
acclimations,আবহাত্তয়ায় অভ্যস্তকরণ
acclimatisation,অভিযোজন
acclimatise,গার্দিওলার
acclimatization,অভিযোজন
acclimatize,সহান
acclimatized,রপ্ত
acclimatizes,নূতন জলবায়ু সহ্য করিতে অভ্যস্ত করান
acclimatizing,নূতন জলবায়ু সহ্য করিতে অভ্যস্ত করান
acclivities,চড়াই
acclivity,চড়াই
acclivous,ঢালু
accolade,প্রশংসা
accoladed,স্মরণীয়
accolades,প্রশংসা
accommodate,মিটমাট করা
accommodated,সাহায্য
accommodates,মিটমাট করা
accommodating,অমায়িক
accommodation,বাসস্থান
accommodations,আবাসন
accompanied,অনুষঙ্গী
accompanies,সাথে
accompaniment,সঙ্গত
accompaniments,সঙ্গত
accompanist,সঙ্গতবাদক
accompanists,সঙ্গতবাদক
accompany,সহগমন করা
accompanying,সহচারী
accomplice,যোগদানকারী
accomplices,দুষ্কর্মে সহযোগী
accomplish,সাধা
accomplishable,প্রতিপাদ্য
accomplished,সম্পন্ন
accomplisher,মারা যায়
accomplishes,সাধা
accomplishing,পৌঁছনোর
accomplishment,নিষ্পাদন
accomplishments,শিক্ষাদীক্ষা
accord,সঙ্গতি
accord of one's own,স্বেচ্ছায়
accordance,অনুযায়ী
accordances,অনুরূপতা
accordant,সদৃশ
accorded,একমত হত্তয়া
according,অনুযায়ী
according as,অতএব
according to,অনুসারে
according to that,তদনুযায়ী
according to the law,আইনত
accordingly,তদনুসারে
accordion,অ্যাকর্ডিয়ন
accordions,বাদ্যযন্ত্রবিশেষ
accords,চুক্তি
accost,মধ্যে সন্দেহ
accosted,সমীপবর্তী হইয়া সম্বোধন করা
accosting,সম্ভাষণ
accosts,টেবিল ও চেয়ার রয়েছে
accouchement,সন্তানপ্রসবার্থ পোয়াতির শয্যায় শয়ন
accouchements,সন্তানপ্রসবার্থ পোয়াতির শয্যায় শয়ন
accoucheur,যে পুরুষ সন্তানপ্রসব করায়
accoucheurs,যে পুরুষ সন্তানপ্রসব করায়
accoucheuse,ধাই
accoucheuses,যে মহিলা সন্তানপ্রসব করায়
account,হিসাব
account book,হিসাবের খাতা
account holder,হিসাবি
account-general,হিসাব নিকাশ বিভাগের অধ্যক্ষ
accountabilities,জবাবদিহিতা
accountability,দায়িত্ব
accountable,দায়ী
accountancies,গণিতকবিদ্যা
accountancy,গণিতকবিদ্যা
accountant,হিসাবরক্ষক
accountants,হিসাবরক্ষক
accounted,দায়ী
accounter,অ্যাকাউন্ট
accounting,হিসাবরক্ষণ
accounting cost,হিসাব
accountings,সমাবেশে
accounts,অ্যাকাউন্ট
accoutre,সজ্জিত করা
accoutred,সজ্জিত করা
accoutrement,সাজসজ্জা
accoutres,সজ্জিত করা
accoutring,সজ্জিত করা
accredit,কৃতিত্ব আরোপ করা
accreditation,স্বীকৃতি
accredited,সর্বজনস্বীকৃত
accredited agent,ক্ষমতাপ্রাপ্ত প্রতিনিধি
accrediting,কৃতিত্ব আরোপ করা
accredits,কৃতিত্ব আরোপ করা
accrescent,ক্রমবদ্র্ধিত
accrete,জুড়ে যাত্তয়া
accreted,উপলিপ্ত
accretes,জুড়ে যাত্তয়া
accreting,না পারলেও
accretion,পরিবৃদ্ধি
accretions,পুষ্টি
accretive,ক্রমবদ্র্ধিত
accrual,বৃদ্ধি
accruals,সেনাবাহিনী না
accrue,জমা
accrued,জমা
accrues,জমা
accruing,উপচয়
acculturate,অন্য সংস্কৃতির সঙ্গে খাপ খাইয়ে নেওয়া
acculturated,শিল্পী তপন
acculturation,সাংস্কৃতিক অভিযোজন
accumbent,অর্ধশয়ান
accumulate,স্তূপাকার করা
accumulated,জমা
accumulates,সংগ্রহ করা
accumulating,সঁচায়ক
accumulation,আহরণ
accumulations,সঞ্চয়ন
accumulative,পুঁজিভবনশীল
accumulator,সঁচায়ক
accumulators,সঁচায়ক
accuracies,সঠিকতা
accuracy,সঠিকতা
accurate,সঠিক
accurately,সঠিক
accursed,অভিশপ্ত
accurst,দুর্ভাগা
accusable,অনুযোগ্য
accusal,অভিযোগ
accusals,অভিযোগ
accusation,অভিযোগ
accusations,অভিযোগ
accusative,দ্বিতীয়া - বিভক্তি
accusatives,দ্বিতীয়া-বিভক্তি
accusatorial,অভিযোক্তা - সংক্রান্ত
accusatory,অভিযোগাত্মক
accuse,অভিযুক্ত করা
accused,অভিযুক্ত
accuser,ফরিয়াদী
accusers,অভিযোগকারীরা
accuses,অভিযুক্ত করে
accusing,অভিযুক্ত করলেও
accusingly,অভিযোগের সুরে
accustom,অভ্যস্ত করা
accustomed,অভ্যস্ত
accustoming,অভ্যস্ত করা
accustoms,অভ্যস্ত করা
ace,টেক্কা
acedia,কুড়েমি
acephalous,মস্তকহীন
acerate,তিক্ত করা
acerbate,উত্ত্যক্ত করা
acerbated,তিক্ত করা
acerbates,তিক্ত করা
acerbating,তিক্ত করা
