#NAME?,পর
acerbities,তিক্ততা
acerbity,কটু স্বাদ
acerola,অ্যাসেরোলা
aces,টেক্কা
acetabula,অঙ্কন অজানা
acetaminophen,এ্যাসিটামিনোফেন
acetate,সির্কাম্লদ্বারা জারিত করা
acetated,সির্কাম্লদ্বারা জারিত
acetates,HDL কে গুড
acetazolamide,সবাই মিলে আবার হাসি
acetic,সির্কাম্লযুক্ত
acetified,সির্কাম্লে পরিণত করা
acetifies,সির্কাম্লে পরিণত করা
acetify,সির্কাম্লে পরিণত করা
acetifying,সির্কাম্লে পরিণত করা
acetone,রংবিহিন একধরনের মিশ্রিত তরল জৈবপদার্থ
acetous,টক
acetyl,এসিটায়েল
acetylation,তিনটা প্রজাতির
acetylene,একরকম বর্ণহীন হাইড্রোকার্বন গ্যাস
acetylenes,উজ্জ্বল শিখাযুক্ত বর্ণহীন গ্যাসবিশেষ
acharya,আচার্য
acharyas,দেবযানী:
ache,ব্যাথা
ached,দীর্ঘস্থায়ী বেদনা ভোগ করা
aches,ব্যাথা
achievable,সাধনযোগ্য
achieve,অর্জন করা
achieved,অর্জন
achievement,কৃতিত্ব
achievements,সাফল্য
achiever,অর্জন
achievers,অর্জনকারী
achieves,অর্জন করা
achieving,অর্জন
aching,ধরা
achromat,অবার্ণ লেনস
achromatic,অবার্ণ
achromatically,বর্ণবিকারমুক্তভাবে
achromaticity,বর্ণবিকারহীনতা
achromatism,বিবর্ণতা
acicular,সূচ্যাকার
acid,অ্যাসিড
acid taste,অম্বল
acid test,চরম পরীক্ষা
acider,এসিড
acidest,এসিড
acidic,আম্লিক
acidification,অম্লীকরণ
acidifications,অম্লীকরণ
acidified,আম্লিক
acidifies,অম্লে পরিণত করা
acidify,টকান
acidifying,অম্লে পরিণত করা
acidities,অম্লতা
acidity,অম্লতা
acidophils,অ্যাসিডোফিল
acidosis,রক্তে অম্লাধিক্যজনিত বিকার
acids,অ্যাসিড
acidulate,ঈষৎ অম্লযুক্ত করা
acidulated,সামান্য টক্
acidulous,সামান্য টক্
acidy,ঠক্ঠকিয়া
acinar,বর্তমান আমেরিকান
ack-ack,বিমানবিধ্বংসী কামান
acknow,জানার
acknowledge,স্বীকার করা
acknowledged,স্বীকৃত
acknowledgement,স্বীকৃতি
acknowledgement receipt,রসিদ
acknowledgement slip,রসিদ
acknowledger,স্বীকার
acknowledges,স্বীকার
acknowledging,স্বীকার
acknowledgment,স্বীকৃতি
acknowledgments,স্বীকৃতিসমূহ
aclinic,অনুভূমিক
acme,চূড়া
acmes,চূড়া
acne,ব্রণ
acnes,ব্রণ
acock,সামনের দিকের এক পাশের কানা টানিয়া দিয়া
acoite,কুচিলা
acolyte,সহকারী
acolytes,খ্রীষ্টীয় গির্জার অধস্তন কর্মচারী
aconite,কুচিলা
aconites,কুচিলা
acorn,ওক গাছের ফল
acorns,ত্তক্ বৃক্ষের ফল
acoustic,শাব্দ
acoustical,ধ্বনিতাত্বিক
acoustics,শ্রবণশক্তি
acquaint,পরিচিত করান
acquaint oneself,পরিচয় করা
acquaint with,জানান
acquaintance,জানাশোনা
acquaintances,পরিচিতদের
acquainted,পরিচিত
acquainting,পরিচিত করান
acquaints,পরিচিত করান
acquiesce,বিনা আপত্তিতে মেনে নেওয়া
acquiesced,মৌনসন্মতি দেত্তয়া
acquiescence,মৌনসন্মতি
acquiescences,অনুমতি
acquiescent,মৌনসন্মতিপূর্ণ
acquiesces,সনের
acquiescing,মৌনসন্মতি দেত্তয়া
acquirable,অধিগম্য
acquire,অর্জন করা
acquired,অর্জিত
acquired habit,অভ্যাস
acquirement,লব্ধি
acquirements,বিদ্যা
acquires,অর্জন করা
acquiring,অর্জন
acquisition,অর্জন
acquisitions,অধিগ্রহণ
acquisitive,অর্জনক্ষম
acquit,বেকসুর খালাস দেওয়া
acquite,বেকসুর খালাস দেওয়া
acquits,বেকসুর খালাস দেত্তয়া
acquittal,বেকসুর খালাস
acquittals,বেকসুর খালাস
acquittance,প্রাপ্তিসূচক রসিদ
acquitted,খালাসী
acquitting,বেকসুর খালাস দেত্তয়া
acre,একর
acreage,মোট খেতের পরিমাণ
acreages,মোট ভূসম্পত্তির পরিমাণ
acred,একর
acres,জমি
acrid,কটু
acridities,ধার
acridity,ঝাঁজ
acrimonies,মেজাজ আচরণ ভাষা প্রভৃতির রুক্ষতা
acrimonious,বদমেজাজি
acrimony,মেজাজের রুক্ষতা
acriomony,বদমেজাজ
acrobat,মল্ল
acrobatic,মত পরিবর্তন করে এমন
acrobatic feat,কসরত
acrobatics,দড়াবাজি
acrobats,দড়াবাজিকর
acroboat,দড়বাজিকর
acronym,অন্য শব্দের আদ্যক্ষর দ্বারা গঠিত শব্দ
acronyms,আদ্যক্ষরসমস্টি
acropetal,মূলদেশ হতে ক্রমশঃ ঊর্ধ্বদিকে বৃদ্ধিশীল
acrophobia,উচ্চতা সম্পর্কে ভীষণ ভীতি
acrophobias,উচ্চতা সম্পর্কে ভীষণ আতঙক
acropolis,গ্রীসের নগরদুর্গ
acropolises,গ্রীসের নগরদুর্গ
across,আড়াআড়ি
acrostic,চিত্র করা
acrostics,ছন্দোবন্ধ ধাঁধাবিশেষ
acrylamide,বিকালে জুডিশিয়াল ম্যাজিস্ট্রেট
acrylic,এক্রাইলিক
acrylics,এক্রাইলিক
act,আইন
act foolishly,মূর্খের ন্যায় আচরণ করা
act of,কাজ
act of god,বিধির বিধান
act of teaching,অধ্যাপনা
act up,কলহ করা
acta,অ্যাক্টা
acted,অভিনীত
acting,অভিনয়
actings,অভিনয়
actinic,বিকারক
actinides,অ্যাকটিনাইডস
actinism,বিকারক ধর্ম
actinium,তেজস্ক্রিয় মৌল
actinomycetes,অ্যাক্টিনোমাইসিটিস
action,কর্ম
action of law,ফরিয়াদ
actionable,অভিযোগ্য
actioned,ক্রিয়া
actioner,ক্রিয়া
actioners,কাজেও
actioning,ক্রিয়া
actions,কর্ম
activate,সক্রিয় করা
activated,সক্রিয়
activates,অনাদিকাল
activating,সক্রিয়
activation,সক্রিয়করণ
activations,সক্রিয়করণব্যবস্থা
active,সক্রিয়
actively,সক্রিয়ভাবে
activeness,যেগুলো নিয়ে
actives,সক্রিয়
activism,সক্রিয়তাবাদ
activist,সক্রিয় কর্মী
activists,কর্মী
activities,ক্রিয়াকলাপ
activity,কার্যকলাপ
activize,উদ্যত করা
actor,অভিনেতা
actors,অভিনেতা
actress,অভিনেত্রী
actresses,অভিনেত্রী
acts,ঘটনা
acts and deeds,কার্যকলাপ
actual,আসল
actualisation,বাস্তবায়ন
actualise,বাস্তবে পরিণত করা
actualised,বাস্তবে পরিণত করা
actualises,বাস্তবে পরিণত করা
actualising,চাদর আসবে
actualist,বাস্তববাদী"
actualite,Actualité
actualites,Actualités
actualities,সত্য
actuality,বাস্তবতা
actualization,বাস্তবায়ন
actualize,বাস্তবে পরিণত করা
actualized,বাস্তবে পরিণত করা
actualizes,বাস্তবে পরিণত করা
actualizing,কাজটি
actually,প্রকৃতপক্ষে
actuals,? বরং
actuarial,বিমার
actuarially,কণ্ঠ্য দড়াদড়ি
actuaries,বিমা-পরতালক
actuary,বিমা - গাণনিক
actuate,সক্রিয় করা
actuated,সক্রিয় করা
actuates,সক্রিয় করা
actuating,সক্রিয় করা
acuities,তীক্ষ্নতা
acuity,তীক্ষ্নতা
aculeate,কাঁটার ন্যায় বিদ্ধ করা এমন
aculei,যাও মৌমাছি কাঁটা ফোটা
acumen,অন্তর্দৃষ্টি
acumens,সূক্ষ্ম বিচারশক্তি
acuminate,শান দেত্তয়া
acuminated,দীর্ঘাগ্র
acuminates,শান দেত্তয়া
acuminating,শান দেত্তয়া
acupuncture,আকুপাংচার
acupunctures,চিকিত্সার্থে মানবদেহের কলাসমূহ সূক্ষ্ম সুচি দ্বারা বিদ্ধকরণ
acute,তীব্র
acutely,কঠোরভাবে
acuteness,সূক্ষ্মদর্শিতা
acuter,তীক্ষ্ণ
acutes,তীক্ষ্ণ
acutest,তীব্র
acyclovir,সূরা
ad,বিজ্ঞাপন
ad interim,আপাতত
ad lib,চটজলদি
ad measurement,পরিমাপ
ad verbum,হুবহু
ad-hoc,অ্যাড
adage,প্রবচন
adages,প্রবাদবাক্য
adagio,ঢিমা
adagios,ঢিমা তাল
adam,বাইবেল অনুসারে প্রথম বা আদি নর
adam's ale,জল
adam's ale or wine,জল
adam's apple,কণ্ঠা
adam's wine,জল
adamance,মনের দুয়ার
adamant,হীরক
adamantine,অভেদ্য
adamantly,কঠোরভাবে
adamants,হীরক
adamite,দিগম্বর
adapatation,অভিযোজন
adapt,খাপ খাওয়ানো
adaptabilities,উপযোগীকরণ
adaptability,উপযোগীকরণ
adaptable,অভিযোজ্য
adaptation,অভিযোজন
adaptations,অভিযোজনের
adapted,অভিযোজিত
adapter,এডাপটার
adapters,অ্যাডাপ্টার
adapting,অভিযোজিত
adaption,ধারনের ধরন
adaptive,অভিযোজিত
adaptively,পংক্তি বা কোন int
adaptiveness,হঠাত্ বিষণ্ন
adaptor,এডাপটার
adaptors,অ্যাডাপ্টার
adapts,আত্তীকরণ
add,যোগ করা
add up,মোট দেত্তয়া
addax,উত্তর আফ্রিকার বাঁকা শিংওয়ালা বৃহত্ কৃষ্ণসার হরিণ
added,যোগ
addenda,অভিযোজ্য বস্তু
addendum,সংযোজন
addendums,এডেনডামস
adder,যোজক
adders,পরিশিষ্ট
addict,উপসেবক
addicted,আসক্ত
addicting,ভালবাসা
addiction,ঝোঁক
addictions,আসক্তিসমূহ
addictive,আসক্তি
addicts,আসক্ত
adding,যোগ
addition,উপরন্তু
additional,অতিরিক্ত
additionality,উপর অতিরিক্ত
additionally,উপরন্তু
additions,সংযোজন
additions and alterations,রদবদল
additive,যোজনীয়
additives,বিশেষ উদ্দেশ্যে সংযোজনের বস্তু
addle,ঘোলা
addle-brained,স্থূলবুদ্ধি
addle-head,স্থূলবুদ্ধি ব্যক্তি
addle-headed,স্থূলবুদ্ধি
addle-pated,স্থূলবুদ্ধি
addled,ঘোলা
addlement,বিশৃঙ্খলা
addles,ঘোলা করা
addling,ঘোলা করা
address,ঠিকানা
addressbook,ঠিকানা বই
addressed,উদ্দেশ্য
addressee,পত্রের প্রাপক
addressees,পত্রের প্রাপক
addresser,আহ্বায়ক
addressers,আহ্বায়ক
addresses,ঠিকানা
addressing,সম্ভাষণ
adds,যোগ করে
adduce,প্রমাণ স্বরূপ উল্লেখ করা
adduced,বিষয়টি আদৌ
adducent,অন্তর্মুখে সমকেন্দ্র্রের দিকে আকর্ষণ করে এমন
adduces,belfry মত
adducible,উপস্থাপনযোগ্য
adducing,প্রমাণ স্বরূপ উল্লেখ করা
adduction,বলন
adductions,বিবৃত
adenoids,গলরসগ্রন্থি
adenosine,এডিনসিন
adenoviral,এডিনো
adenovirus,এডিনো
adenoviruses,এডিনোভাইরাস
adept,সুদক্ষ
adeptness,পারদর্শিতা
adepts,বিশেষজ্ঞ
adequacies,অনুরূপতা
adequacy,সাদৃশ্য
adequate,পর্যাপ্ত
adequately,পর্যাপ্তরূপে
adequation,অনুরূপতা
adhere,লেগে থাকা
adhered,আঁটিয়া লাগিয়া থাকা
adherence,আনুগত্য
adherent,অনুগত
adherents,অনুগামী
adheres,দৃঢ় সংলগ্ন
adhering,লগ্ন
adhering to,নিবদ্ধ
adhesion,আনুগত্য
adhesions,আনুগত্য
adhesive,আঠালো
adhesiveness,চিট
adhesives,চিটে
adhoc,বিশেষ উদ্দেশে গঠিত
adiabatic,রুদ্ধতাপীয়
adieu,বিদায়
adieus,বিদায়
adieux,বিদায়
adipose,মেদ
adiposity,মেদবহুলতা
adit,সুড়ঙ্গপথ
adits,সুড়ঙ্গপথ
adivasis,আদিবাসী
adjacence,আনন্তর্য
adjacences,আনন্তর্য
adjacencies,সন্নিহিত অবস্থা
adjacency,অন্তিক
adjacent,সন্নিহিত
adjacently,ভালো হলেই
adjacents,সংলগ্ন
adjectival,গুণবাচক
adjective,বিশেষণ
adjectives,বিশেষণ
adjoin,সংলগ্ন করা
adjoined,সংযুক্ত করা
adjoining,সংলগ্ন
adjoins,সংযুক্ত করা
adjourn,স্থগিত রাখা
adjourned,মুলতুবী
adjourning,মুলতুবি
adjournment,স্থগিতকরণ
adjournments,বিনম্র
adjourns,পরিপন্থী কাজ
adjudge,ঠিক করা
adjudged,সাব্যস্ত
adjudgement,কারাদণ্ড
adjudges,বিচারপূর্বক স্থির করা
adjudging,বিচারপূর্বক স্থির করা
adjudgment,কারাদণ্ড
adjudgments,দেত্তয়া
adjudicate,ন্যায়নির্ণয় করা
adjudicated,অভি
adjudicates,বিচারপূর্বক স্থির করা
adjudicating,সমূহের বিচারের
adjudication,ফয়সালা
adjudications,রায়দান
adjudicator,ন্যায়নির্ণায়ক
adjudicators,রায়ে নিবন্ধন
adjunct,উপরি
adjunction,ক্রোড়পত্র
adjunctions,ক্রোড়পত্র
adjuncts,যোজন
adjuration,হলফ
adjurations,প্রতিজ্ঞা
adjure,সনির্বন্ধ অনুরোধ করা
adjured,সনির্বন্ধ অনুরোধ করা
adjures,সনির্বন্ধ অনুরোধ করা
adjuring,সনির্বন্ধ অনুরোধ করা
adjust,সমন্বয় করা
adjustable,নিয়মিত
adjusted,নিয়মিত
adjuster,ফিটার
adjusters,ফিটার
adjusting,সামঞ্জস্য
adjustment,সমন্বয়
adjustments,সমন্বয়
adjusts,সমন্বয় করা
adjutant,হাড়গিলা - পাখি
adjutant bird,হাড়গিলা-পাখি
adjutants,সেনাপতির সহকরিবিশেষ
adjuvant,সহযোগিতা
adjuvants,সাহায্য
adman,বিজ্ঞাপন - ব্যবসায়ী
admass,জণসাধারণের যে অংশ বিজ্ঞাপন প্রভৃতি দ্বারা সহজেই প্রভাবিত হয়
admeasure,ভরণপোষণ করা
admeasured,ভরণপোষণ করা
admeasures,ভরণপোষণ করা
admeasuring,ভরণপোষণ করা
admin,অ্যাডমিন
administer,তদারকি করা
administer oath,শপথ করানো
administered,শাসিত
administering,প্রতিপালন করা
administers,পরিচালনা
administrate,শাসন ​​করা
administrated,পরিচালিত
administrates,শাসন করা
administrating,ব্যবস্থাপনার
administration,প্রশাসন
administrations,প্রশাসকদের
administrative,প্রশাসনিক
administrator,প্রশাসক
administrators,প্রশাসক
administratrix,শাসক
admins,প্রশাসক
admirable,ধন্য
admirably,বিস্ময়কর ও প্রশংসনীয়
admiral,নৌসেনাপতি
admirals,নৌসেনাপতি
admiralship,নৌসেনাধ্যক্ষের পদ
admiralties,প্রধান নৌসেনাপতির দফতর
admiralty,নৌসেনাবিভাগ
admiration,তারিফ
admirations,তারিফ
admire,তারিফ করা
admired,প্রশংসিত
admirer,উপাসক
admirers,প্রশংসক
admires,তারিফ করা
admiring,উপাসক
admiringly,আহ্্
admissibility,গ্রাহ্যতা
admissible,গ্রাহ্য
admission,ভর্তি
admissions,ভর্তির
admissive,স্বীকৃতিমূলক
admit,মানা
admit into,প্রবেশ করান
admits,স্বীকার
admittable,প্রবেশের যোগ্য
admittance,প্রবেশাধিকার
admittances,উপলক্ষে
admitted,ভর্তি
admittedly,নিঃসন্দেহে
admitting,মানা
admix,মিশ্রিত করা
admixed,সংমিশ্রিত
admixes,মিশ্রিত করা
admixing,মিশ্রিত করা
admixture,মিশ্রণ
admixtures,মিশ্রণ
admonish,সতর্ক করা
admonished,সতর্ক করা
admonisher,সতর্ককারীরূপে
admonishers,শিকার
admonishes,সতর্ক করা
admonishing,এবং সুষ্পষ্ট
admonishment,বকুনি
admonishments,বিশেষভাবে উপদেশদান
admonition,অনুযোগ
admonitions,বিশেষভাবে উপদেশদান
admonitory,উপদেশপ্রদ
adnate,এডনেট
ado,ঝামেলা
adobe,রৌদ্রপক্ব ইষ্টক
adobes,রৌদ্রপক্ব ইষ্টক
adolescence,কৈশোর
adolescences,কৈশোর
adolescent,কিশোর
adolescent boy,কিশোর
adolescents,বয়ঃসন্ধিকালের
adolescnet,শৈশব এবং সাবালকত্ব মধ্যে
adonis,সুদর্শন যুবা
adonises,ভেনাসের প্রণয়পাত্র সুদর্শন যুবাদিশেষ
adonish,সুদর্শন যুবক
adonize,নিজেকে সজ্জিত করা
adopt,দত্তক গ্রহণ করা
adopt a method,পথ ধরা
adoptable,গ্রহণযোগ্য
adopted,গৃহীত
adoptee,সাক্ষাতের বলক
adoptees,গ্রহণের বলক
adopter,গ্রহণকারী
adopters,গ্রহীতারা
adopting,দত্তক
adoption,গ্রহণ
adoptions,গ্রহণ
adoptive,দত্তক
adopts,গ্রহণ
adorable,আরাধ্য
adoration,উপাসনা
adorations,সম্মান
adore,পূজা করা
adored,ঋত
adorer,ভক্ত
adorers,ভক্ত
adores,পূজা করা
adoring,প্রেমপূর্ণ
adoringly,যে চারটি
adorn,বিভূষিত করা
adorned,অলঙ্কৃত
adorner,সাজানো
adorning,শোভাকর
adornment,সজ্জা
adornments,সজ্জা
adorns,বিভূষিত করা
adown,তলার দিকে
adrenal,মূত্রগ্র্রন্থিসম্বন্ধীয়
adrenalin,বৃক্করস
adrenaline,বৃক্করস
adrenals,বৃক্কের উপরিভাগের অংশসমূহ
adrift,ভাসিতে ভাসিতে
adroit,দক্ষ
adroiter,কুশলী
adroitest,কুশলী
adroitly,নিপুণভাবে
adroitness,কলা
adroitnesses,জটিল
ads,বিজ্ঞাপন
adsorb,পরিশোষণ করা
adsorption,পরিশোষণ
adsum,তরঙ্গদৈর্ঘ্য
adulate,হীনভাবে প্রশংসা করা
adulated,হীনভাবে প্রশংসা করা
adulates,হীনভাবে প্রশংসা করা
adulating,হীনভাবে প্রশংসা করা
adulation,তোষণ
adulations,তোষামোদ
adulator,স্তাবক
adulators,চাটুকার
adulatory,সংপ্রশংসনীয়
adult,প্রাপ্তবয়স্ক
adulter,প্রণয়িনী
adulterant,ভেজাল
adulterants,ভেজাল
adulterate,ব্যভিচারী
adulterated,ভেজাল
adulterates,অপমিশ্রণ করা
adulterating,ভেজাল
adulteration,ভেজাল
adulterations,জালিয়াতি
adulterator,ভেজাল - ব্যবসায়ী
adulterer,ব্যভিচারী
adulterers,ব্যভিচারে
adulteress,ব্যভিচারিণী
adulteresses,ঈশ্বরের প্রতি বিশ্বস্ত
adulteries,চুরি
adulterous,ব্যভিচারী
adultery,ব্যভিচার
adulthood,সাবালকত্ব
adulthoods,সাবালকত্ব
adultly,সাবালক ভঙ্গিতে
adultress,ব্যভিচারিণী
adults,প্রাপ্তবয়স্কদের
adumbral,ছায়াচ্ছন্ন
adumbrate,অস্পষ্ট আভাস দেত্তয়া
adumbrated,অস্পষ্ট আভাস দেত্তয়া
adumbrates,অস্পষ্ট আভাস দেত্তয়া
adumbrating,অস্পষ্ট আভাস দেত্তয়া
adumbration,ছায়াপাত
adust,রৌদ্রদগ্ধ
advalorem,মূল্যায়নুপাতে
advance,আগাম
advance guard,সেনামুখ
advanced,অগ্রসর
advancement,অগ্রগতি
advancements,অগ্রগতি
advancer,সনজয়
advancers,ঋণ সমন্বয়
advances,অগ্রগতি
advancing,আগুয়ান
advani,আদভানি
advantage,সুবিধা
advantage-ground,অপেক্ষাকৃত সুবিধা জনক অবস্থা
advantaged,সুবিধা দেত্তয়া
advantageous,সুবিধাজনক
advantages,সুবিধার
advantaging,সুবিধা দেত্তয়া
advent,আবির্ভাব
adventitious,আপতিক
advents,খ্রীষ্টের আবির্ভাব
adventure,দু: সাহসিক কাজ
adventured,ঝুঁকি লত্তয়া
adventurer,অভিযাত্রী
adventurers,দুঃসাহসী
adventures,ইভেন্ট
adventuresome,বিপজ্জনক
adventuresome exploration,অভিযান
adventuress,দু: সাহসী
adventuresses,হঠকারিণী মহিলা
adventuring,ঝুঁকি লত্তয়া
adventurism,রাজনৈতিক হঠকারিতা
adventurous,দুঃসাহসিক
adventurousness,দু: সাহসিকতা
adverb,বিশেষণের বিশেষণ
adverbial,ক্রিয়া - বিশেষণিক
adverbials,নিজস্ব রূপায়ণ
adverbs,ক্রিয়াবিশেষণ
adversarial,বিপক্ষ
adversaries,প্রতিপক্ষ
adversary,বিপক্ষ
adversative,বিরোধী
adverse,প্রতিকূল
adverse balance,ঘাটতি
adversed,প্রতিকূল
adversely,বিরূপ
adverser,প্রতিকূল
adverses,প্রতিকূল
adversest,প্রতিকূল
adversing,প্রতিকূল
adversities,প্রতিকূলতা
adversity,বিদ্বেষ
advert,বিজ্ঞাপন
adverted,কামাল
advertent,অনন্যচিত্তে
advertently,অনন্যচিত্তে
adverting,নাম করা
advertise,বিজ্ঞাপিত করা
advertised,বিজ্ঞাপনে
advertisement,বিজ্ঞাপন
advertisements,বিজ্ঞাপন
advertiser,বিজ্ঞাপনদাতা
advertisers,খবর Netlog ওপর বিজ্ঞাপণদাতা
advertises,বিজ্ঞাপিত করা
advertising,বিজ্ঞাপন
advertisings,বিজ্ঞাপণ
adverts,নাম করা
advice,পরামর্শ
advices,পরামর্শ
advisability,ঔচিত্য
advisable,যুক্তিযুক্ত
advise,উপদেশ
advised,উপদিষ্ট
advisedly,বিজ্ঞাপন অনুযায়ী
advisees,সময় জানিয়ে
advisement,ন্যায্য দাবি
adviser,উপদেষ্টা
advisers,উপদেষ্টা
advises,উপদেশ
advising,অধ্যাপনা
advisor,অধ্যাপক
advisories,অ্যাডভাসরি
advisors,উপদেষ্টাদের
advisory,উপদেষ্টা
advocacies,প্রচার
advocacy,ওকালতি
advocate,উকিল
advocate-general,সর্বপ্রধান সহকারী উকিল
advocated,শিল্পমন্ত্রী
advocates,সমর্থনকারীরা
advocating,সমর্থনে
adware,অ্যাডওয়্যারের
adyar,প্রশাসনিক
adz,বাটালি
adze,বাইস
adzed,বাটালি দিয়া কাটা
adzes,বাটালি দিয়া কাটা
adzing,বাটালি দিয়া কাটা
aedes,Latin সুমেরীয়
aegis,আশ্রয়
aegises,অভেদ্য ঢাল
aegle marmelos,বেল
aeolian,গ্রীক পুরাণে বর্ণিত পবন দেবতা
aeon,যুগযুগান্ত
aeons,যুগ
aerate,গ্যাস ভরা
aerated,বাতান্বিত
aerated water,সোডা লিমনেড
aerates,বাতান্বিত করা
aerating,বাতান্বিত করা
aeration,বাতান্বয়ন
aerations,বাতান্বয়ন
aerators,এয়ারেটর
aerial,বায়বীয়
aerialist,ট্রাপিজ খেলোয়াড়
aerially,বেতার
aerials,অ্যরিয়েল
aerie,অত্যুচ্চ স্থানে নির্মিত শিকারি পাখির বাসা
aeries,অত্যুচ্চ স্থানে নির্মিত শিকারি পাখির বাসা
aeriform,বায়বীয়াকার
aero,বায়ু সম্বন্ধীয়
aero-,বায়ু সম্বন্ধীয়
aerobatics,দক্ষ বিমানচালনা
aerobe,বায়ুজীবী জীবাণু
aerobic,বায়ুজীবী
aerobic bacteria,বায়ুজীবী জীবাণু
aerobics,এরোবিকস
aerodrome,বিমানশালা
aerodromes,এরোড্রোমগুলোর
aerodynamicist,বায়ুগতিবিদ্যায়
aerodynamics,বায়ুগতিবিদ্যা
aerofoil,বিমানের পাখা
aerogel,airgel
aerography,আবহবিদ্যা
aerolite,উল্কা
aerolites,উল্কা
aerolith,উল্কা
aeroliths,উল্কা
aerologic,বায়বীয়
aerological,বায়বীয়
aerologies,আকাশতত্ত্ব
aerology,শূন্যবিজ্ঞান
aerometer,বায়ুমানযন্ত্র
aerometers,বায়ুমানযন্ত্র
aeronaut,বিমানচালক
aeronautic,বৈমানিক
aeronautical,বৈমানিক
aeronautics,বিমানচালনাবিদ্যা
aeronauts,বিমানচালক
aeroplane,বিমান
aeroplanes,এ্যারোপ্লেনের
aeros,গ্রীক প্রেমদেবতা
aeroshell,কবচ
aerosol,এরোসল
aerosols,অ্যারোসল
aerospace,মহাকাশ
aerostatics,নভশ্চারণবিদ্যা
aerostation,বিমানশালা
aerugo,লোকসান
aery,অত্যুচ্চ স্থানে নির্মিত শিকারি পাখির বাসা
aesir,এইসার
aesthete,কলাবিদ্যবিশারদ
aesthetes,কলাবিদ্যবিশারদ
aesthetic,নান্দনিক
aesthetical,কান্তিবিদ্যাসম্বন্ধীয়
aesthetician,esthetician
aestheticians,সৌন্দর্যবেত্তা
aestheticism,সৌন্দর্যানুরাগ
aesthetics,নন্দনতত্ব
aestivation,মুকুলপত্রবিন্যাস
aetiologies,পীড়ার নিদান
aetiology,নিদান
afar,দূরবর্তী স্থান
affabilities,অমায়িকতা
affability,অমায়িকতা
affable,ভদ্র
affably,অমায়িকভাবে
affair,ব্যাপার
affair of honor,দ্বন্দ্বযুদ্ধ
affaire,ব্যাপার
affaires,ঘটনা
affairs,বিষয়
affect,অনুভূতি
affectation,ভান
affectations,ভান
affected,আক্রান্ত
affected with callosity,ঘেঁচড়া
affecting,প্রভাবিত
affectingly,করুণভাবে
affection,স্নেহ
affectionate,অনুরক্ত
affections,স্নেহ
affective,আবেগপূর্ণ
affectivity,আক্রান্ত না
affects,প্রভাবিত করে
afferent,অন্তর্বাহ
afferent vessel,অন্তর্বাহ
